,dates,holiday
0,2016-01-18,Martin Luther King Jr. Day
1,2016-02-15,Washington's Birthday
2,2016-10-10,Columbus Day
3,2016-01-01,New Year's Day
4,2016-05-30,Memorial Day
5,2016-07-04,Independence Day
6,2016-09-05,Labor Day
7,2016-11-11,Veterans Day
8,2016-11-24,Thanksgiving
9,2016-12-25,Christmas Day
10,2016-12-26,Christmas Day (Observed)
11,2017-01-16,Martin Luther King Jr. Day
12,2017-02-20,Washington's Birthday
13,2017-10-09,Columbus Day
14,2017-01-01,New Year's Day
15,2017-01-02,New Year's Day (Observed)
16,2017-05-29,Memorial Day
17,2017-07-04,Independence Day
18,2017-09-04,Labor Day
19,2017-11-11,Veterans Day
20,2017-11-10,Veterans Day (Observed)
21,2017-11-23,Thanksgiving
22,2017-12-25,Christmas Day
23,2018-01-15,Martin Luther King Jr. Day
24,2018-02-19,Washington's Birthday
25,2018-10-08,Columbus Day
26,2018-01-01,New Year's Day
27,2018-05-28,Memorial Day
28,2018-07-04,Independence Day
29,2018-09-03,Labor Day
30,2018-11-11,Veterans Day
31,2018-11-12,Veterans Day (Observed)
32,2018-11-22,Thanksgiving
33,2018-12-25,Christmas Day
34,2019-01-21,Martin Luther King Jr. Day
35,2019-02-18,Washington's Birthday
36,2019-10-14,Columbus Day
37,2019-01-01,New Year's Day
38,2019-05-27,Memorial Day
39,2019-07-04,Independence Day
40,2019-09-02,Labor Day
41,2019-11-11,Veterans Day
42,2019-11-28,Thanksgiving
43,2019-12-25,Christmas Day
44,2010-01-18,Martin Luther King Jr. Day
45,2010-02-15,Washington's Birthday
46,2010-10-11,Columbus Day
47,2010-01-01,New Year's Day
48,2010-12-31,New Year's Day (Observed)
49,2010-05-31,Memorial Day
50,2010-07-04,Independence Day
51,2010-07-05,Independence Day (Observed)
52,2010-09-06,Labor Day
53,2010-11-11,Veterans Day
54,2010-11-25,Thanksgiving
55,2010-12-25,Christmas Day
56,2010-12-24,Christmas Day (Observed)
57,2011-01-17,Martin Luther King Jr. Day
58,2011-02-21,Washington's Birthday
59,2011-10-10,Columbus Day
60,2011-01-01,New Year's Day
61,2011-05-30,Memorial Day
62,2011-07-04,Independence Day
63,2011-09-05,Labor Day
64,2011-11-11,Veterans Day
65,2011-11-24,Thanksgiving
66,2011-12-25,Christmas Day
67,2011-12-26,Christmas Day (Observed)
68,2012-01-16,Martin Luther King Jr. Day
69,2012-02-20,Washington's Birthday
70,2012-10-08,Columbus Day
71,2012-01-01,New Year's Day
72,2012-01-02,New Year's Day (Observed)
73,2012-05-28,Memorial Day
74,2012-07-04,Independence Day
75,2012-09-03,Labor Day
76,2012-11-11,Veterans Day
77,2012-11-12,Veterans Day (Observed)
78,2012-11-22,Thanksgiving
79,2012-12-25,Christmas Day
80,2013-01-21,Martin Luther King Jr. Day
81,2013-02-18,Washington's Birthday
82,2013-10-14,Columbus Day
83,2013-01-01,New Year's Day
84,2013-05-27,Memorial Day
85,2013-07-04,Independence Day
86,2013-09-02,Labor Day
87,2013-11-11,Veterans Day
88,2013-11-28,Thanksgiving
89,2013-12-25,Christmas Day
90,2014-01-20,Martin Luther King Jr. Day
91,2014-02-17,Washington's Birthday
92,2014-10-13,Columbus Day
93,2014-01-01,New Year's Day
94,2014-05-26,Memorial Day
95,2014-07-04,Independence Day
96,2014-09-01,Labor Day
97,2014-11-11,Veterans Day
98,2014-11-27,Thanksgiving
99,2014-12-25,Christmas Day
100,2015-01-19,Martin Luther King Jr. Day
101,2015-02-16,Washington's Birthday
102,2015-10-12,Columbus Day
103,2015-01-01,New Year's Day
104,2015-05-25,Memorial Day
105,2015-07-04,Independence Day
106,2015-07-03,Independence Day (Observed)
107,2015-09-07,Labor Day
108,2015-11-11,Veterans Day
109,2015-11-26,Thanksgiving
110,2015-12-25,Christmas Day
